g list:, 0.25, 1.5
Date, Infection, Prediction, Retrodiction
0, 1.000, 1.000, 1.000
1, 0.250, 0.250, 0.000
2, 1.562, 1.562, 0.667
3, 0.766, 0.766, -0.111
4, 2.535, 2.535, 0.463
5, 1.782, 1.782, -0.151
6, 4.248, 4.248, 0.334
7, 3.735, 3.735, -0.156
8, 7.306, 7.306, 0.249
9, 7.430, 7.430, -0.146
10, 12.817, 12.817, 0.190
11, 14.349, 14.349, -0.129
12, 22.812, 22.812, 0.148
13, 27.226, 27.226, -0.111
14, 41.025, 41.025, 0.117
15, 51.096, 51.096, -0.093
16, 74.312, 74.312, 0.094
17, 95.221, 95.221, -0.078
18, 135.273, 135.273, 0.075
19, 176.651, 176.651, -0.064
20, 247.072, 247.072, 0.061
21, 326.744, 326.744, -0.053
22, 452.294, 452.294, 0.050
23, 603.189, 603.189, -0.044
24, 829.239, 829.239, 0.040
25, 1112.094, 1112.094, -0.036
26, 1521.882, 1521.882, 0.033
27, 2048.611, 2048.611, -0.029
28, 2794.976, 2794.976, 0.027
29, 3771.661, 3771.661, -0.024
30, 5135.379, 5135.379, 0.022
31, 6941.336, 6941.336, -0.020
32, 9438.402, 9438.402, 0.018
33, 12771.604, 12771.604, -0.016
34, 17350.504, 17350.504, 0.015
35, 23495.032, 23495.032, -0.013
36, 31899.513, 31899.513, 0.012
37, 43217.426, 43217.426, -0.011
38, 58653.626, 58653.626, 0.010
39, 79489.545, 79489.545, -0.009
40, 107852.826, 107852.826, 0.008
41, 146197.524, 146197.524, -0.007
42, 198328.620, 198328.620, 0.007
43, 268878.441, 268878.441, -0.006
44, 364712.540, 364712.540, 0.005
45, 494495.796, 494495.796, -0.005
46, 670692.759, 670692.759, 0.004
47, 909416.884, 909416.884, -0.004
48, 1233393.359, 1233393.359, 0.004
49, 1672473.666, 1672473.666, -0.003
